display_name,canonical_repo_or_product,url,category,provenance,decision,rationale,license_or_terms,lifecycle_note
Vibe Kanban,BloopAI/vibe-kanban,https://github.com/BloopAI/vibe-kanban,coding-agent task board,project-list; attribution unresolved,DO NOT USE,Do not build on a shut-down vendor's task system when GitHub already owns work state.,Apache-2.0,Vendor shut down 2026-04-10; community local repo remains and remote services were removed.
Agent Kanban,saltbo/agent-kanban,https://github.com/saltbo/agent-kanban,agent task board / identity control,project-list; attribution unresolved,WATCH,Reconsider after license conversion/legal approval and only if GitHub plus the selected session UI cannot manage dispatch.,FSL-1.1-ALv2 now; scheduled future Apache-2.0,Active; latest observed 2026-07-17.
clideck,rustykuntz/clideck,https://github.com/rustykuntz/clideck,browser/mobile session dashboard,project-list; attribution unresolved,WATCH,Keep as a mutually exclusive fallback if terminal-first Agent Deck is insufficient.,MIT,Active; latest observed 2026-07-13.
Nimbalyst,nimbalyst/nimbalyst,https://github.com/nimbalyst/nimbalyst,visual agent workspace,project-list; attribution unresolved,DO NOT USE,"Exclude its broad workspace, kanban, document, and collaboration duplication of governed systems.",MIT,Active v0.69.1; latest observed 2026-07-15.
GitHub Agent HQ,GitHub Agent HQ product,https://github.blog/news-insights/company-news/welcome-home-agents/,hosted agent mission-control product,project-list; attribution unresolved,PILOT,Use for remote PR-bounded work while keeping all durable state and evidence exportable in repositories.,Proprietary GitHub/Copilot service terms,No standalone repository; Claude and Codex public preview announced 2026-02-04.
AgentMemory,rohitg00/agentmemory,https://github.com/rohitg00/agentmemory,cross-agent memory,project-list; attribution unresolved,HARVEST,"Reuse retrieval, ranking, and deduplication ideas in the governed knowledge pipeline rather than add another memory authority.",Apache-2.0,High-confidence identity; latest observed 2026-06-28.
Agent Deck,asheshgoplani/agent-deck,https://github.com/asheshgoplani/agent-deck,terminal multi-session control plane,project-list; attribution unresolved,PILOT,"Trial as the sole local multi-session UI across two projects and measure recovery, worktree safety, time, and cost visibility.",MIT,High-confidence canonical identity; latest observed 2026-07-12.
CCManager,kbwo/ccmanager,https://github.com/kbwo/ccmanager,terminal multi-session control plane,project-list; attribution unresolved,WATCH,Keep as the mutually exclusive fallback if Agent Deck fails hook reliability or cross-agent coverage.,MIT,Active v4.2.1; latest observed 2026-07-11.
JamJet,jamjet-labs/jamjet,https://github.com/jamjet-labs/jamjet,agent action control plane,project-list; attribution unresolved,PILOT,"Evaluate as the single policy, approval, cost-cap, audit, and replay plane on one non-production workflow.",Apache-2.0,Active; latest observed 2026-07-11.
Cordum,cordum-io/cordum,https://github.com/cordum-io/cordum,agent governance control plane,project-list; attribution unresolved,DO NOT USE,Exclude the broad duplicative control plane and its licensing/operational overhead.,BSL-1.1 with competitive-use restriction; converts to Apache-2.0 on 2029-01-01,Active; latest observed 2026-07-13.
SentinelGate,Sentinel-Gate/Sentinelgate,https://github.com/Sentinel-Gate/Sentinelgate,MCP policy gateway,project-list; attribution unresolved,WATCH,Reconsider only if deterministic CEL/RBAC needs exceed the selected control plane and AGPL/commercial terms are approved.,AGPL-3.0; commercial license offered,Latest visible commit 2026-04-20; v2.1.4 released 2026-04-16.
AgentGate,yoned0609/AgentGate,https://github.com/yoned0609/AgentGate,JIT SaaS/MCP authorization proxy,project-list; attribution unresolved,WATCH,Activate only when a concrete SaaS integration needs intent-scoped credentials that the primary control plane cannot supply.,MIT,High-confidence identity; latest observed 2026-04-11.
Faramesh,faramesh/faramesh-core,https://github.com/faramesh/faramesh-core,tool-call policy daemon,project-list; attribution unresolved,HARVEST,"Adapt declarative permit/defer/deny, fail-closed, and hash-chained audit patterns without another policy daemon.",Apache-2.0,Confirmed; latest observed 2026-06-27.
Pipelock,luckyPipewrench/pipelock,https://github.com/luckyPipewrench/pipelock,AI egress / MCP security proxy,project-list; attribution unresolved,PILOT,"Place the open core at one boundary and measure secret/SSRF/injection blocking, false positives, and latency.",Apache-2.0 core; enterprise modules under ELv2,Active v3.2.0; latest observed 2026-07-17.
AIR Blackbox,airblackbox/air-blackbox-mcp,https://github.com/airblackbox/air-blackbox-mcp,AI compliance scanner,project-list; attribution unresolved,WATCH,Use only when a named customer or jurisdiction creates a concrete compliance evidence requirement.,Apache-2.0,Active; latest observed 2026-07-14.
Nucleus,eidetic-works/nucleus-mcp,https://github.com/eidetic-works/nucleus-mcp,portable decision memory / governance,project-list; attribution unresolved,HARVEST,"Adapt decision, correction, verification, and audit-record patterns into the existing knowledge vault rather than a second .brain authority.",MIT,High-confidence identity; latest observed 2026-07-02.
DBOS SDK family,DBOS durable-workflow product family,https://www.dbos.dev/,embedded durable workflow SDK family,project-list; exact original link unresolved,PILOT,Confirm the original linked language; prefer one TypeScript pilot for the current stack and keep the product row unresolved until then.,MIT for official TS and Python SDKs,"Product is confirmed, but the exact original repository link was not recovered."
DBOS TypeScript SDK,dbos-inc/dbos-transact-ts,https://github.com/dbos-inc/dbos-transact-ts,embedded durable workflow SDK,research-resolved member of unresolved DBOS family,PILOT,Implement one Postgres-backed durable workflow only if a real TypeScript service needs crash recovery and resumability.,MIT,Active; latest observed 2026-07-16.
mini-SWE-agent,SWE-agent/mini-swe-agent,https://github.com/SWE-agent/mini-swe-agent,minimal research coding agent,successor discovered during research,WATCH,Evaluate separately only if a small inspectable benchmark runner is needed; it is the upstream successor to SWE-agent.,MIT,Active successor; source notes identify it as superseding SWE-agent.
Antigravity CLI,google-antigravity/antigravity-cli,https://github.com/google-antigravity/antigravity-cli,coding agent CLI,successor discovered during research,PILOT,Run a bounded consumer-use trial as the official successor lane after Gemini CLI individual-tier serving ended.,Google product terms and privacy terms; no OSS license was visible in the reviewed repo page,Official successor; release 1.1.2 observed 2026-07-13. Interaction-data collection is opt-out.
OpenHands Software Agent SDK,OpenHands/software-agent-sdk,https://github.com/OpenHands/software-agent-sdk,coding-agent SDK,successor discovered during research,WATCH,Track the modular SDK separately from the legacy umbrella and evaluate only for an OpenHands-specific product requirement.,MIT,Active source destination for the OpenHands agent/server; v1.23.1 observed 2026-05-25.
OpenHands Agent Canvas,OpenHands/agent-canvas,https://github.com/OpenHands/agent-canvas,coding-agent control plane,successor discovered during research,WATCH,Track the beta canvas transition; do not add another control plane unless the selected one fails remote/always-on requirements.,MIT,"Beta, best-effort support; source moved from the umbrella repo."
Betterleaks,betterleaks/betterleaks,https://github.com/betterleaks/betterleaks,secret scanning,successor discovered during research,PILOT,"Compare against pinned Gitleaks on representative repositories for detection, false positives, runtime, and rule stability before migration.",MIT,Active successor from the Gitleaks maintainers; v1.6.1 observed 2026-06-30.
Current Letta Agent SDK,Letta Agent SDK product direction,https://www.letta.com/,stateful agent SDK,successor product discovered during research,WATCH,Revisit only if a future product workflow explicitly requires long-lived stateful agents and the exact current repo/terms are verified.,Exact repository and terms not established in source notes,Active development moved away from letta-ai/letta V1; canonical current repo was not established.
Cline Kanban,cline/kanban,https://github.com/cline/kanban,coding-agent worktree UI,identity collision discovered during research,WATCH,"Treat as a separate research-preview worktree UI, not as saltbo/agent-kanban; reconsider only for a Cline-specific need.",Apache-2.0,Separate research-preview product; current activity not independently normalized.
Personal Agent HQ dashboard,mkanasani/agent-hq,https://github.com/mkanasani/agent-hq,agent dashboard,false-friend identity discovered during research,DO NOT USE,Do not substitute this unrelated personal dashboard for GitHub Agent HQ in architecture or installation decisions.,No visible license file in source notes,Unrelated repo; last commit noted 2026-04-19.
Physical AgentDeck,puritysb/AgentDeck,https://github.com/puritysb/AgentDeck,hardware / multi-surface controller,false-friend identity discovered during research,DO NOT USE,Do not map this physical Stream Deck/display controller to the intended terminal Agent Deck candidate.,Not verified in source notes,Separate product identity; not evaluated as a standalone candidate.
Rust agentdeck TUI,alexander-matthew/agentdeck,https://github.com/alexander-matthew/agentdeck,terminal multi-session UI,false-friend identity discovered during research,DO NOT USE,Do not substitute this smaller Rust split-pane TUI for the canonical intended Agent Deck without a separate evaluation.,Not verified in source notes,Separate repo identity; not evaluated as the intended candidate.
Agent Deck attribution fork,mvanhorn/agent-deck,https://github.com/mvanhorn/agent-deck,terminal multi-session UI fork,false-friend identity discovered during research,DO NOT USE,Do not replace the canonical asheshgoplani owner with a repo carrying upstream attribution.,Not verified in source notes,Non-canonical identity for this inventory.
Legacy OpenAgents research platform,xlang-ai/OpenAgents,https://github.com/xlang-ai/OpenAgents,research agent platform,false-friend identity discovered during research,DO NOT USE,Do not confuse the COLM 2024 research/demo platform with the current openagents-org collaboration OS.,Not verified in source notes,Legacy namesake; last committed in 2024.
NucleusIQ,nucleusbox/NucleusIQ,https://github.com/nucleusbox/NucleusIQ,agent framework,false-friend identity discovered during research,DO NOT USE,Do not map this separate framework to the intended Nucleus decision-memory/MCP product.,Not verified in source notes,Collision-prone separate product; not evaluated as the intended candidate.
Nucleus Security MCP,Nucleus Security hosted MCP product,,commercial security integration,false-friend identity discovered during research,UNRESOLVED,Keep separate from eidetic-works/nucleus-mcp; obtain the original link and terms before any evaluation.,Commercial/proprietary terms not captured,Named only to prevent identity collision; no canonical URL captured in source notes.
NemoClaw,NVIDIA/NemoClaw,https://github.com/NVIDIA/NemoClaw,OpenClaw sandbox/reference stack,explicit prior user mention,PILOT,"Use as the preferred safety wrapper for the bounded OpenClaw pilot; verify policies, egress, credentials, resource use, and rollback before any expansion.",Apache-2.0,Alpha early preview since 2026-03-16; not production-ready and interfaces may change. Runs OpenClaw inside NVIDIA OpenShell.
autoresearch,karpathy/autoresearch,https://github.com/karpathy/autoresearch,agent research automation,User explicitly requested everything from karpathy,PILOT,Adapt its fixed-budget keep-or-discard experiment loop to improve prompts and skills against a stable eval suite; do not make autonomous production changes.,MIT stated in README,"Active; latest repository commit 2026-03-26. GPU training implementation is reference material, not an Agent Stack runtime dependency."
nanoGPT,karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,LLM training,User explicitly requested everything from karpathy,DO NOT USE,The maintainer explicitly deprecates it in favor of nanochat; retain only as historical context.,MIT,Deprecated by maintainer; latest repository commit 2025-11-12.
nanochat,karpathy/nanochat,https://github.com/karpathy/nanochat,LLM training and evaluation,User explicitly requested everything from karpathy,HARVEST,"Reuse the complete-but-small lifecycle pattern, one complexity dial, fixed benchmarks, cost reporting, and leaderboard discipline in Agent Stack evals.",MIT,Active; latest repository commit 2026-07-03. Not needed as a production AccentOS dependency.
LLM101n,karpathy/LLM101n,https://github.com/karpathy/LLM101n,LLM education,User explicitly requested everything from karpathy,DO NOT USE,The course was never completed and the repository is explicitly archived.,No explicit repository-wide license detected,Archived; latest repository commit 2024-08-01.
llm.c,karpathy/llm.c,https://github.com/karpathy/llm.c,minimal LLM training,User explicitly requested everything from karpathy,HARVEST,"Steal the tiny reference implementation, parity-test, checkpoint, and auditable-baseline philosophy for critical Agent Stack workflows.",MIT,Maintained as reference code; latest repository commit 2025-05-10. No current AccentOS runtime need.
minGPT,karpathy/minGPT,https://github.com/karpathy/minGPT,LLM education,User explicitly requested everything from karpathy,DO NOT USE,It is semi-archived and superseded first by nanoGPT and now nanochat.,MIT,Semi-archived by maintainer; latest repository commit 2023-01-08.
nn-zero-to-hero,karpathy/nn-zero-to-hero,https://github.com/karpathy/nn-zero-to-hero,AI education,User explicitly requested everything from karpathy,HARVEST,"Use its executable-notebook curriculum and exercises as optional internal AI literacy material, never as application code.",MIT,Stable educational material; latest repository commit 2024-02-20.
llama2.c,karpathy/llama2.c,https://github.com/karpathy/llama2.c,minimal LLM inference,User explicitly requested everything from karpathy,WATCH,Keep as a minimal inference reference only if local model work becomes strategic; current product work does not need it.,MIT,Stable educational reference; latest repository commit 2024-05-29.
micrograd,karpathy/micrograd,https://github.com/karpathy/micrograd,AI education,User explicitly requested everything from karpathy,HARVEST,Reuse the tiny-core plus reference-oracle tests pattern when building auditable utilities and skill scripts.,MIT,Stable educational reference; latest repository commit 2020-04-18.
char-rnn,karpathy/char-rnn,https://github.com/karpathy/char-rnn,legacy neural network,User explicitly requested everything from karpathy,DO NOT USE,Obsolete Torch-era training code has no direct fit and lacks a clear repository-wide license.,No explicit repository-wide license detected,Legacy; latest repository commit 2016-04-30.
convnetjs,karpathy/convnetjs,https://github.com/karpathy/convnetjs,legacy browser ML,User explicitly requested everything from karpathy,DO NOT USE,Interesting history but obsolete as a dependency for current agent and business systems.,MIT,Legacy; latest repository commit 2016-11-25.
minbpe,karpathy/minbpe,https://github.com/karpathy/minbpe,tokenization education,User explicitly requested everything from karpathy,HARVEST,Keep as the readable tokenizer reference and use its small testable implementation style; use mature tokenization libraries in production.,MIT,Stable educational reference; latest repository commit 2024-04-22.
arxiv-sanity-preserver,karpathy/arxiv-sanity-preserver,https://github.com/karpathy/arxiv-sanity-preserver,research discovery,User explicitly requested everything from karpathy,DO NOT USE,The maintainer points users to the lighter arxiv-sanity-lite rewrite.,No explicit repository-wide license detected,Superseded; latest repository commit 2021-11-27.
neuraltalk2,karpathy/neuraltalk2,https://github.com/karpathy/neuraltalk2,legacy image captioning,User explicitly requested everything from karpathy,DO NOT USE,Obsolete Torch/Lua image-captioning stack and no fit to current products.,BSD stated in README; variant unspecified,Legacy; latest repository commit 2016-09-23.
neuraltalk,karpathy/neuraltalk,https://github.com/karpathy/neuraltalk,legacy image captioning,User explicitly requested everything from karpathy,DO NOT USE,Explicitly deprecated predecessor with no current product fit.,No explicit repository-wide license detected,Deprecated; latest repository commit 2015-11-20.
build-nanogpt,karpathy/build-nanogpt,https://github.com/karpathy/build-nanogpt,AI education,User explicitly requested everything from karpathy,HARVEST,Adopt the clean-commit-history teaching pattern for future Agent Stack tutorials and migration examples.,MIT stated in README,Stable educational material; latest repository commit 2024-06-17.
ng-video-lecture,karpathy/ng-video-lecture,https://github.com/karpathy/ng-video-lecture,AI education,User explicitly requested everything from karpathy,WATCH,Optional learning reference only; build-nanogpt and nanochat are more useful starting points.,MIT stated in README,Educational snapshot; latest repository commit 2023-02-07.
makemore,karpathy/makemore,https://github.com/karpathy/makemore,AI education,User explicitly requested everything from karpathy,WATCH,Useful one-file progression for training but not a product dependency or current agent capability.,MIT stated in README,Educational snapshot; latest repository commit 2022-11-20.
reader3,karpathy/reader3,https://github.com/karpathy/reader3,LLM-assisted reading,User explicitly requested everything from karpathy,HARVEST,"Apply its chapter-at-a-time human-guided reading loop to book, manual, and policy ingestion into the Obsidian knowledge vault.",MIT stated in README,"Unsupported prototype; latest repository commit 2025-11-18. Use the workflow, not the app as a platform."
rendergit,karpathy/rendergit,https://github.com/karpathy/rendergit,repository context packaging,User explicitly requested everything from karpathy,PILOT,"Benchmark its dual human/LLM flattened repository view against Repomix on review quality, context size, secret exclusion, and mobile usability.",0BSD stated in README,Useful small utility; latest repository commit 2025-08-21. Maintainer does not promise support.
cryptos,karpathy/cryptos,https://github.com/karpathy/cryptos,cryptography education,User explicitly requested everything from karpathy,DO NOT USE,The maintainer explicitly says it is educational and not production cryptography; it is outside current scope.,MIT stated in README,Educational; latest repository commit 2021-06-21.
jobs,karpathy/jobs,https://github.com/karpathy/jobs,evidence pipeline and visualization,User explicitly requested everything from karpathy,HARVEST,Reuse the inspectable scrape-normalize-score-rationale-render pipeline and explicit non-claims for AccentOS vendor and business scoring.,No explicit repository-wide license detected,Active research tool; latest repository commit 2026-03-16. Pattern only unless license is clarified.
karpathy.github.io,karpathy/karpathy.github.io,https://github.com/karpathy/karpathy.github.io,personal site and essays,User explicitly requested everything from karpathy,WATCH,"Treat as a linked research source for ideas, not as reusable software.",No explicit repository-wide license detected,Active content repository; latest repository commit 2026-04-10.
arxiv-sanity-lite,karpathy/arxiv-sanity-lite,https://github.com/karpathy/arxiv-sanity-lite,research discovery,User explicitly requested everything from karpathy,HARVEST,"Steal cheap tag-specific recommendations, explicit user curation, scheduled intake, and simple TF-IDF/SVM baselines before reaching for heavy RAG.",MIT,Stable but aging; latest repository commit 2022-02-14. Reimplement current dependencies rather than deploy unchanged.
reinforcejs,karpathy/reinforcejs,https://github.com/karpathy/reinforcejs,legacy browser RL,User explicitly requested everything from karpathy,DO NOT USE,Legacy educational JavaScript RL code has no current product fit.,MIT stated in README,Legacy; latest repository commit 2015-12-06.
randomfun,karpathy/randomfun,https://github.com/karpathy/randomfun,miscellaneous notebooks,User explicitly requested everything from karpathy,DO NOT USE,Uncurated personal experiments do not belong in a governed reusable stack.,BSD stated in README; variant unspecified,Miscellaneous; latest repository commit 2023-04-14.
ulogme,karpathy/ulogme,https://github.com/karpathy/ulogme,local activity telemetry,User explicitly requested everything from karpathy,HARVEST,Steal local-first append-only activity logs and inspectable timelines for agent usage telemetry; explicitly exclude keylogging and raw window-title surveillance.,MIT stated in README,Legacy implementation; latest repository commit 2016-05-08. Privacy-sensitive pattern only.
recurrentjs,karpathy/recurrentjs,https://github.com/karpathy/recurrentjs,legacy neural network,User explicitly requested everything from karpathy,DO NOT USE,Legacy educational JavaScript code with no current fit and no clear repository-wide license.,No explicit repository-wide license detected,Legacy; latest repository commit 2015-05-20.
pytorch-normalizing-flows,karpathy/pytorch-normalizing-flows,https://github.com/karpathy/pytorch-normalizing-flows,ML research reproduction,User explicitly requested everything from karpathy,DO NOT USE,Niche stale research code is unrelated to current agent or business needs and has no detected license.,No explicit repository-wide license detected,Research snapshot; latest repository commit 2019-12-12.
tsnejs,karpathy/tsnejs,https://github.com/karpathy/tsnejs,legacy visualization,User explicitly requested everything from karpathy,DO NOT USE,Obsolete unlicensed browser implementation; use current maintained visualization libraries.,No explicit repository-wide license detected,Legacy; latest repository commit 2016-10-24.
lecun1989-repro,karpathy/lecun1989-repro,https://github.com/karpathy/lecun1989-repro,reproducible research,User explicitly requested everything from karpathy,HARVEST,"Adopt the habit of recording source claims, assumptions, unknowns, expected results, actual results, and discrepancies in every evaluation report.",MIT,Stable research reproduction; latest repository commit 2022-03-20.
paper-notes,karpathy/paper-notes,https://github.com/karpathy/paper-notes,research notes,User explicitly requested everything from karpathy,DO NOT USE,"Stale personal notes without an explicit license should remain a linked reference, not copied knowledge-vault content.",No explicit repository-wide license detected,Stale; latest repository commit 2017-04-17.
svmjs,karpathy/svmjs,https://github.com/karpathy/svmjs,legacy browser ML,User explicitly requested everything from karpathy,DO NOT USE,Obsolete educational implementation; use maintained libraries or the higher-level recommendation pattern from arxiv-sanity-lite.,MIT stated in README,Legacy; latest repository commit 2013-03-13.
hn-time-capsule,karpathy/hn-time-capsule,https://github.com/karpathy/hn-time-capsule,retrospective evaluation pipeline,User explicitly requested everything from karpathy,HARVEST,"Steal staged, resumable artifacts and hindsight-based grading to backtest strategic predictions and preserve rationale over time.",MIT stated in README,Unsupported prototype; latest repository commit 2025-12-10. Pattern is stronger than the specific app.
deep-vector-quantization,karpathy/deep-vector-quantization,https://github.com/karpathy/deep-vector-quantization,ML research,User explicitly requested everything from karpathy,DO NOT USE,Incomplete niche training code has no direct fit to current projects.,MIT-style license,Research snapshot; latest repository commit 2021-03-02.
pytorch-made,karpathy/pytorch-made,https://github.com/karpathy/pytorch-made,ML research reproduction,User explicitly requested everything from karpathy,DO NOT USE,Niche stale reproduction has no current product fit.,MIT stated in README,Research snapshot; latest repository commit 2018-04-28.
rustbpe,karpathy/rustbpe,https://github.com/karpathy/rustbpe,tokenizer training,User explicitly requested everything from karpathy,WATCH,A clean option if a domain-specific tokenizer becomes necessary; current hosted-model products do not need custom tokenizer training.,MIT,Recent utility; latest repository commit 2026-01-03.
researchpooler,karpathy/researchpooler,https://github.com/karpathy/researchpooler,legacy research utility,User explicitly requested everything from karpathy,DO NOT USE,Very old undocumented and unlicensed utility with no current fit.,No explicit repository-wide license detected,Legacy; latest repository commit 2011-12-02.
covid-sanity,karpathy/covid-sanity,https://github.com/karpathy/covid-sanity,research discovery,User explicitly requested everything from karpathy,DO NOT USE,Pandemic-specific application is obsolete; the general recommendation pattern is better captured by arxiv-sanity-lite.,MIT stated in README,Domain-specific legacy app; latest repository commit 2020-05-03.
find-birds,karpathy/find-birds,https://github.com/karpathy/find-birds,social recommendation,User explicitly requested everything from karpathy,DO NOT USE,Depends on obsolete Twitter-era APIs and does not fit current products.,MIT stated in README,Legacy; latest repository commit 2018-04-01.
forestjs,karpathy/forestjs,https://github.com/karpathy/forestjs,legacy browser ML,User explicitly requested everything from karpathy,DO NOT USE,Obsolete browser random-forest implementation; use current maintained libraries.,MIT stated in README,Legacy; latest repository commit 2012-10-04.
researchlei,karpathy/researchlei,https://github.com/karpathy/researchlei,legacy research utility,User explicitly requested everything from karpathy,DO NOT USE,Old undocumented and unlicensed project with no present fit.,No explicit repository-wide license detected,Legacy; latest repository commit 2013-05-03.
transformers,karpathy/transformers,https://github.com/karpathy/transformers,upstream fork,User explicitly requested everything from karpathy,DO NOT USE,Karpathy's old fork should not replace the maintained huggingface/transformers upstream.,Apache-2.0 in fork,Fork of huggingface/transformers; latest fork commit 2022-06-24.
Random-Forest-Matlab,karpathy/Random-Forest-Matlab,https://github.com/karpathy/Random-Forest-Matlab,legacy MATLAB ML,User explicitly requested everything from karpathy,DO NOT USE,Old unlicensed MATLAB implementation has no fit to the current stack.,No explicit repository-wide license detected,Legacy; latest repository commit 2014-02-27.
nipspreview,karpathy/nipspreview,https://github.com/karpathy/nipspreview,legacy conference browser,User explicitly requested everything from karpathy,DO NOT USE,Obsolete conference-specific browser with no license; modern research intake should use a new pipeline.,No explicit repository-wide license detected,Legacy; latest repository commit 2012-11-26.
scriptsbots,karpathy/scriptsbots,https://github.com/karpathy/scriptsbots,upstream fork,User explicitly requested everything from karpathy,DO NOT USE,Old fork is not a maintained canonical dependency.,No explicit repository-wide license detected,Fork; latest fork commit 2012-01-02.
karpathy profile repo,karpathy/karpathy,https://github.com/karpathy/karpathy,profile metadata,User explicitly requested everything from karpathy,DO NOT USE,Profile README repository contains no reusable product capability.,No explicit repository-wide license detected,Profile repository; latest repository commit 2023-07-25.
calorie,karpathy/calorie,https://github.com/karpathy/calorie,personal utility,User explicitly requested everything from karpathy,DO NOT USE,Single-purpose personal health app is outside project scope.,MIT stated in README,Small personal app; latest repository commit 2024-05-30.
tf-agent,karpathy/tf-agent,https://github.com/karpathy/tf-agent,legacy RL experiment,User explicitly requested everything from karpathy,DO NOT USE,Undocumented obsolete RL experiment with no current fit or explicit license.,No explicit repository-wide license detected,Legacy; latest repository commit 2016-10-03.
gitstats,karpathy/gitstats,https://github.com/karpathy/gitstats,engineering activity view,User explicitly requested everything from karpathy,HARVEST,Reimplement its per-repository activity rollup and links as privacy-safe Agent Stack adoption and engineering telemetry.,No explicit repository-wide license detected,Stale implementation; latest repository commit 2020-04-02. Pattern only.
examples,karpathy/examples,https://github.com/karpathy/examples,upstream fork,User explicitly requested everything from karpathy,DO NOT USE,Large stale fork should not enter the stack; use its canonical upstream if a specific example is needed.,BSD-3-Clause in fork,Fork; latest fork commit 2018-05-15.
lifejs,karpathy/lifejs,https://github.com/karpathy/lifejs,upstream fork,User explicitly requested everything from karpathy,DO NOT USE,Old fork has no current product relevance.,No explicit repository-wide license detected,Fork; latest fork commit 2012-05-27.
EigenLibSVM,karpathy/EigenLibSVM,https://github.com/karpathy/EigenLibSVM,legacy C++ ML,User explicitly requested everything from karpathy,DO NOT USE,Old unlicensed wrapper has no fit; use maintained libraries.,No explicit repository-wide license detected,Legacy; latest repository commit 2012-05-12.
notpygamejs,karpathy/notpygamejs,https://github.com/karpathy/notpygamejs,legacy JavaScript utility,User explicitly requested everything from karpathy,DO NOT USE,Obsolete unlicensed personal utility with no project fit.,No explicit repository-wide license detected,Legacy; latest repository commit 2012-05-07.
twoolpy,karpathy/twoolpy,https://github.com/karpathy/twoolpy,legacy social utility,User explicitly requested everything from karpathy,DO NOT USE,Obsolete Twitter utility with no current integration value.,WTFPL stated in README,Legacy; latest repository commit 2012-11-29.
cpython,karpathy/cpython,https://github.com/karpathy/cpython,upstream fork,User explicitly requested everything from karpathy,DO NOT USE,Use the maintained python/cpython repository rather than this personal fork.,Python Software Foundation License in fork,Fork; latest fork commit 2025-12-09.
scholaroctopus,karpathy/scholaroctopus,https://github.com/karpathy/scholaroctopus,research visualization,User explicitly requested everything from karpathy,DO NOT USE,Historical static literature visualization is superseded by the stronger arxiv-sanity-lite pattern.,MIT stated in README,Legacy; latest repository commit 2014-08-11.
MatlabWrapper,karpathy/MatlabWrapper,https://github.com/karpathy/MatlabWrapper,legacy MATLAB utility,User explicitly requested everything from karpathy,DO NOT USE,Tiny unlicensed legacy wrapper has no current fit.,No explicit repository-wide license detected,Legacy; latest repository commit 2012-08-27.
sqlitedict,karpathy/sqlitedict,https://github.com/karpathy/sqlitedict,upstream fork,User explicitly requested everything from karpathy,DO NOT USE,Use the maintained canonical package rather than Karpathy's stale fork.,No explicit repository-wide license detected in fork,Fork; latest fork commit 2020-01-01.
optim,karpathy/optim,https://github.com/karpathy/optim,upstream fork,User explicitly requested everything from karpathy,DO NOT USE,Old Torch optimization fork is not a maintained canonical dependency.,No explicit repository-wide license detected in fork,Fork; latest fork commit 2015-04-16.
nn,karpathy/nn,https://github.com/karpathy/nn,upstream fork,User explicitly requested everything from karpathy,DO NOT USE,Old Torch neural-network fork is obsolete and not canonical.,No explicit repository-wide license detected in fork,Fork; latest fork commit 2015-05-16.
simple-amt,karpathy/simple-amt,https://github.com/karpathy/simple-amt,upstream fork,User explicitly requested everything from karpathy,DO NOT USE,Legacy Mechanical Turk fork has no current project fit.,No explicit repository-wide license detected in fork,Fork; latest fork commit 2015-03-03.
LLM Wiki gist,karpathy/llm-wiki,https://gist.github.com/karpathy/442a6bf555914893e9891c11519de94f,knowledge management pattern,User explicitly referenced karpathy RAG and LLM wiki,ADOPT NOW,"Implement the raw immutable sources, LLM-maintained linked wiki, schema, ingest, query, lint, index, and append-only log pattern in the Obsidian knowledge vault using original wording and structures.",No explicit license attached to the gist; ideas may be independently implemented but text should not be copied verbatim,"Created 2026-04-04. This is an idea file, not a software repository or installable dependency."
